	logFC	AveExpr	t	P.Value	adj.P.Val	B
IGFALS	-2.04756691119691	7.04956429906542	-16.3650208504736	6.10032851244146e-31	1.27033240943081e-26	59.6365741891319
ANGPTL6	-1.64604582239382	7.37731570093458	-16.1877441665549	1.40642583999697e-30	1.32578061095619e-26	58.8224530809548
VIPR1	-1.34089401544402	7.56333934579439	-16.122999158521	1.90997975070523e-30	1.32578061095619e-26	58.5240890237974
CXCL14	-3.80394421621622	7.11715457943925	-15.8489879873797	7.01500187374681e-30	3.20505655958607e-26	57.2552937756859
CLEC1B	-3.13587770656371	7.18239635514019	-15.8295592703394	7.69558336435379e-30	3.20505655958607e-26	57.1649587791214
CDHR2	-2.44651274903475	8.27441953271028	-15.0893029550828	2.71185651828003e-28	9.41195002277722e-25	53.6870193770367
CLEC4M	-2.92699862162162	6.22481271028037	-14.9502028145718	5.33510168625625e-28	1.58711653592286e-24	53.0257644267857
KCNN2	-3.99083692277992	6.60326345794393	-14.8306895292212	9.55926541919e-28	2.48827678861516e-24	52.4557104862945
ECM1	-1.66554828571429	7.84824897196262	-14.7768677982072	1.24372242617275e-27	2.87769731140238e-24	52.1984193303785
OIT3	-3.22952243629344	6.94262317757009	-14.3164484180645	1.19779089099139e-26	2.49427975140048e-23	49.9831320237634
FCN2	-2.07261623166023	4.88066878504673	-14.1724002668327	2.4448559798427e-26	4.62833462947676e-23	49.2849010980314
PLVAP	1.33615237065637	7.56535485981308	13.9929851917978	5.96463510550405e-26	9.99639221971174e-23	48.4118973385516
CLEC4G	-3.16216826254826	6.97874719626168	-13.9839069999781	6.24054450904018e-26	9.99639221971174e-23	48.36762706162
ZGPAT	-2.19542254440154	9.67799523364486	-13.8802135461532	1.04667248310587e-25	1.55685055629976e-22	47.861303252168
ANKRD55	-1.19499962162162	4.6562861682243	-13.6296383526222	3.6690607521636e-25	5.09363474020365e-22	46.6328599442629
STAB2	-1.70221502702703	6.19147841121495	-13.5769182760442	4.78107303150095e-25	6.22256655049848e-22	46.3735316658198
CYP26A1	-2.72121319305019	6.98571869158878	-13.4262761374815	1.02026524919326e-24	1.24976491465885e-21	45.6309011855174
CRHBP	-2.99937168339768	6.88364476635514	-13.3941707599321	1.19949313543353e-24	1.38768028068154e-21	45.4723214661857
LINC01093	-4.1784274054054	7.63511476635514	-13.3805909372232	1.28451691586739e-24	1.40783053979066e-21	45.405213769015
NXF3	-1.1306943976834	5.37308392523364	-13.349020685417	1.50630984082902e-24	1.56836980627117e-21	45.2491287509578
CAP2	2.35199213513514	8.25048130841122	13.2840147069156	2.09162516087895e-24	2.07409535000682e-21	44.927413432967
ACADS	-1.26053384942085	8.47167682242991	-13.1897383437358	3.36948299291656e-24	3.18936881111338e-21	44.4600764752141
KDM8	-1.87658711583012	7.7125691588785	-13.1659991764457	3.79983530731435e-24	3.44033784519626e-21	44.3422585385446
