	logFC	AveExpr	t	P.Value	adj.P.Val	B
LAMC2	2.90894425661799	6.99124626262944	20.4178410743338	1.16622899998706e-61	1.97559192597808e-57	129.539312581248
LAMB3	2.28665832535557	6.59437598976294	19.0953407588711	2.85807836657675e-56	2.42079237649051e-52	117.260069257346
TSPAN1	2.50198875040044	7.08066014010969	18.0707442411908	4.35033571029218e-52	2.45648956441165e-48	107.727431391093
ASAP2	1.14426484854938	7.17672202727498	17.9005865975486	2.15159541094828e-51	9.11200656536598e-48	106.144919537852
MBOAT2	1.50861449435649	6.03597716576013	17.4266974657936	1.83913171947104e-49	6.23097826556789e-46	101.741029711428
TMPRSS4	2.39302305800367	5.87982089286722	17.2470525051999	9.91101732889868e-49	2.79821055919239e-45	100.073395348755
SLC6A14	3.08982150025808	5.17221263323371	17.1925829285959	1.65121673775613e-48	3.99594450536984e-45	99.568004236031
NOX4	1.94334477946123	5.39121278282083	17.1276351115389	3.03432379232353e-48	6.42518063024508e-45	98.9655549395879
SULF1	2.41882234337017	7.93817186452499	16.9450459691385	1.67692759991887e-47	3.15635039362507e-44	97.2729059749363
ITGA2	2.06202922681496	7.15903369989668	16.8897155729602	2.81421424773699e-47	4.59436470897921e-44	96.760301606995
SLPI	2.16381879731241	7.92099212008544	16.8834768249251	2.98335370712936e-47	4.59436470897921e-44	96.7025131552645
CAPG	1.63003041624222	7.31745008082848	16.7871440854621	7.3447940895934e-47	1.03684009898093e-43	95.8104652048399
KRT19	2.65586462085942	8.00142245193836	16.7731896875713	8.36834096034793e-47	1.04509317893488e-43	95.6812889457747
COL11A1	2.58841759117475	6.22500778157261	16.7698079566572	8.6371337102056e-47	1.04509317893488e-43	95.6499858231938
CDH3	1.65651277220038	5.89797940920406	16.7441137272502	1.09820183699741e-46	1.24023594124907e-43	95.4121675055639
COL10A1	2.37310167274502	6.68402677335523	16.619687132895	3.5122142291412e-46	3.71855681510325e-43	94.2610612118497
CTSE	2.8897137402951	8.04638457883923	16.5671295209913	5.7375064552905e-46	5.71725643250712e-43	93.775121021288
MYOF	1.67380041825975	8.5474123407933	16.4064892013262	2.56855244599876e-45	2.41729324640106e-42	92.2909858170993
ECT2	1.63971960056494	5.64591476428351	16.0560975279019	6.70999257934601e-44	5.98248812074323e-41	89.0602684356779
MLPH	1.54729748351805	6.61836961481881	16.0446855838581	7.46107795310929e-44	6.31953302628357e-41	88.9552107951239
FGD6	1.22561766902118	5.48571051690766	15.9895349962796	1.24572507136014e-43	1.00488489089718e-40	88.447653781133
PKM	1.20998603506564	8.43009878560431	15.98108134216	1.34752263994139e-43	1.03759243275487e-40	88.3698769529814
MET	1.58071702100775	7.99980704869625	15.9082576521558	2.65029975956072e-43	1.95200338812863e-40	87.7001309951072
ANXA2P2	0.955862431955163	9.78069423280004	15.8307114504572	5.44345231829489e-43	3.84217009466314e-40	86.9874770095087
KCNN4	1.13207307816419	5.21318451745218	15.7233891119943	1.4725592021066e-42	9.97806115347435e-40	86.0021051622045
DNTTIP1	0.758677768544728	6.79190754687155	15.6944378626943	1.92565930163791e-42	1.25464109883639e-39	85.7364815283932
APOL1	1.44273217511514	7.06174305372274	15.6387130430667	3.22646777668152e-42	2.0243097828513e-39	85.2254477520357
S100A16	1.22604243637274	7.75975418968142	15.5787354043747	5.62119651269707e-42	3.40082389018173e-39	84.6757633663796
GALNT5	2.03053301514733	5.77597150841705	15.5598497682773	6.69441840385559e-42	3.91046371590737e-39	84.5027565265223
HK2	1.49902978487881	6.36105352995887	15.5374698312549	8.23410336370907e-42	4.64952369937439e-39	84.297787416548
ZDHHC7	0.771036324926658	7.68016436605695	15.4787909111302	1.41653846163389e-41	7.74069727099293e-39	83.7606216805145
TRIM59	1.10207183551308	4.93087110452129	15.2972321161391	7.57174446554516e-41	4.00829222644797e-38	82.1009634562337
FN1	2.06514788108684	7.64449849569321	15.2383009101854	1.30356194078242e-40	6.6916179626831e-38	81.5630709825227
NQO1	1.67681165180914	6.08567839521869	15.2312925266007	1.39052394268425e-40	6.92808105560915e-38	81.4991293713105
ITGA3	1.5357226745257	6.41551061695402	15.2169035228366	1.5876463502912e-40	7.6842083354094e-38	81.3678682924816
TRIM29	1.9618346166587	5.94861887599114	15.1817941295405	2.19378067117095e-40	1.03229568248988e-37	81.0476931101188
AMIGO2	1.11780587695566	6.92402180997938	15.1388374197065	3.25787294112716e-40	1.49157750331606e-37	80.6561582150064
SDC1	1.18569805624731	6.86142360341068	15.1229302638451	3.77143001444568e-40	1.68126380117657e-37	80.5112275148643
