ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
LAMC2,2.908944257,6.991246263,20.41784107,1.17E-61,1.98E-57,129.5393126
LAMB3,2.286658325,6.59437599,19.09534076,2.86E-56,2.42E-52,117.2600693
TSPAN1,2.50198875,7.08066014,18.07074424,4.35E-52,2.46E-48,107.7274314
ASAP2,1.144264849,7.176722027,17.9005866,2.15E-51,9.11E-48,106.1449195
MBOAT2,1.508614494,6.035977166,17.42669747,1.84E-49,6.23E-46,101.7410297
TMPRSS4,2.393023058,5.879820893,17.24705251,9.91E-49,2.80E-45,100.0733953
SLC6A14,3.0898215,5.172212633,17.19258293,1.65E-48,4.00E-45,99.56800424
NOX4,1.943344779,5.391212783,17.12763511,3.03E-48,6.43E-45,98.96555494
SULF1,2.418822343,7.938171865,16.94504597,1.68E-47,3.16E-44,97.27290597
ITGA2,2.062029227,7.1590337,16.88971557,2.81E-47,4.59E-44,96.76030161
SLPI,2.163818797,7.92099212,16.88347682,2.98E-47,4.59E-44,96.70251316
CAPG,1.630030416,7.317450081,16.78714409,7.34E-47,1.04E-43,95.8104652
KRT19,2.655864621,8.001422452,16.77318969,8.37E-47,1.05E-43,95.68128895
COL11A1,2.588417591,6.225007782,16.76980796,8.64E-47,1.05E-43,95.64998582
CDH3,1.656512772,5.897979409,16.74411373,1.10E-46,1.24E-43,95.41216751
COL10A1,2.373101673,6.684026773,16.61968713,3.51E-46,3.72E-43,94.26106121
CTSE,2.88971374,8.046384579,16.56712952,5.74E-46,5.72E-43,93.77512102
MYOF,1.673800418,8.547412341,16.4064892,2.57E-45,2.42E-42,92.29098582
ECT2,1.639719601,5.645914764,16.05609753,6.71E-44,5.98E-41,89.06026844
MLPH,1.547297484,6.618369615,16.04468558,7.46E-44,6.32E-41,88.9552108
FGD6,1.225617669,5.485710517,15.989535,1.25E-43,1.00E-40,88.44765378
PKM,1.209986035,8.430098786,15.98108134,1.35E-43,1.04E-40,88.36987695
MET,1.580717021,7.999807049,15.90825765,2.65E-43,1.95E-40,87.700131
KCNN4,1.132073078,5.213184517,15.72338911,1.47E-42,9.98E-40,86.00210516
APOL1,1.442732175,7.061743054,15.63871304,3.23E-42,2.02E-39,85.22544775
S100A16,1.226042436,7.75975419,15.5787354,5.62E-42,3.40E-39,84.67576337
GALNT5,2.030533015,5.775971508,15.55984977,6.69E-42,3.91E-39,84.50275653
HK2,1.499029785,6.36105353,15.53746983,8.23E-42,4.65E-39,84.29778742
TRIM59,1.102071836,4.930871105,15.29723212,7.57E-41,4.01E-38,82.10096346
FN1,2.065147881,7.644498496,15.23830091,1.30E-40,6.69E-38,81.56307098
