	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	logP
LAMC2	2.83359353943231	6.97101563247516	20.2486020813831	5.83179619757061e-61	9.87906275868461e-57	127.919570013952	up	56.0052842556188
LAMB3	2.17536216417677	6.5679048768033	18.7550683744239	7.14292953301379e-55	6.05006131446268e-51	114.054369474012	up	50.2182402239595
TSPAN1	2.40739419395735	7.06535829474997	17.6469588088234	2.36882849785923e-50	1.00319886884339e-46	103.755064823072	up	45.9986129662017
TMPRSS4	2.34426741497269	5.82693256843477	17.4320060158234	1.7792528351471e-49	6.02810860547839e-46	101.759694318618	up	45.2198189318161
SLC6A14	3.0513533948208	5.12243334541016	17.3063041771114	5.78120118887538e-49	1.63222580232582e-45	100.593523670364	up	44.787219761072
NOX4	1.92269150603465	5.32084740077929	17.168712593431	2.0984280185236e-48	5.07819580482712e-45	99.3177345270836	up	44.2942905576339
MBOAT2	1.41477096910376	6.00060820400487	16.9339950998241	1.88855138086987e-47	3.63088104356576e-44	97.1432658334821	up	43.4399879793904
COL11A1	2.52670439206089	6.17919061612686	16.9317276846119	1.92903951547177e-47	3.63088104356576e-44	97.1222728960253	up	43.4399879793904
SULF1	2.32535111222551	7.92584609112331	16.7479700385421	1.07530132748351e-46	1.82156044875707e-43	95.4218478729204	up	42.7395564120553
KRT19	2.54674615900104	8.01648671394525	16.6990023232827	1.69915657492222e-46	2.61670112538022e-43	94.9690351953803	up	42.5822458788162
COL10A1	2.25452036201361	6.65590508316665	16.6233811463488	3.44324530106775e-46	4.86071461667397e-43	94.2700325594095	up	42.3132998765683
CDH3	1.56418349647127	5.86763134091084	16.5348567935998	7.86757301828182e-46	1.02520528407457e-42	93.4522090562744	up	41.9891891640577
MYOF	1.53993818059776	8.56390349167518	16.3147609150415	6.12484432850434e-45	7.41106163749025e-42	91.4211375267635	up	41.1301195747091
ITGA2	1.96089989893741	7.13485589004846	16.2847301222226	8.10184271109141e-45	9.14968103505923e-42	91.1442759415071	up	41.0385940455104
CTSE	2.8248924666856	8.06719881532157	16.1678569301009	2.4049438451164e-44	2.54623429601699e-41	90.0674408241224	up	40.5941016365089
CAPG	1.49028077668184	7.30569033653533	16.1584756503907	2.62429966911444e-44	2.61503743498815e-41	89.9810504404954	up	40.5825220897059
SLPI	2.01421022146698	7.94290749790479	16.1015293198647	4.4571714855124e-44	4.19469360914334e-41	89.4567938236945	up	40.3772997556262
ECT2	1.60226583214434	5.57588539937029	16.0719872430854	5.8661706821668e-44	5.23015428188977e-41	89.1849287668379	up	40.2814854998927
KCNN4	1.08314549209734	5.17687197812674	15.690137675486	2.02909245378424e-42	1.63680124605262e-39	85.6777798802589	up	38.7860040530151
STYK1	1.31029299153976	4.08808646051807	15.6547058075354	2.81706985480038e-42	2.1691437881963e-39	85.3530430793143	up	38.6637116585204
FGD6	1.16177318617067	5.44529902951146	15.6365630851909	3.33227416851489e-42	2.45429236585401e-39	85.1868115335504	up	38.6100737035022
PKM	1.04612214885059	8.44385228961076	15.4287365261612	2.27640795285893e-41	1.60676461339293e-38	83.2850396832521	up	37.7940477415268
TRIM59	1.09397304173345	4.87333771930735	15.2624030087281	1.05600887165569e-40	7.15551611433893e-38	81.7663503984142	up	37.1453590359048
NQO1	1.61363029720782	6.03867502094199	15.1865530135471	2.12372877869284e-40	1.38369098119449e-37	81.0748711734044	up	36.8589608897542
TRIM29	1.84707976829407	5.93009555122293	15.1400906430582	3.25701359162018e-40	2.04347445340911e-37	80.6516416247404	up	36.6896307872711
MET	1.43599612454308	8.01202162935587	15.1205967684752	3.89678852100159e-40	2.35755705520596e-37	80.4741486506435	up	36.6275377881087
S100A16	1.06296200795569	7.76304283993608	15.1059329900211	4.4594588234164e-40	2.60493905064393e-37	80.3406648279868	up	36.5842024336998
SDR16C5	1.8660804337791	4.98315423446224	15.0887278574498	5.22389312300783e-40	2.94975831679175e-37	80.1840811018794	up	36.5302135657112
HK2	1.40370904978996	6.32559353728346	15.07606180932	5.86905817448108e-40	3.20715630566805e-37	80.0688310859663	up	36.4938798735499
MLPH	1.40568972407634	6.61233690294402	15.0476755222926	7.61868324316504e-40	4.03314044185049e-37	79.8106136278819	up	36.3943566547445
CEACAM6	2.95574011563292	8.13312508912336	14.9704459342628	1.5485914455769e-39	7.94943608729475e-37	79.1086089750705	up	36.0996636779929
APOL1	1.30179664096763	7.04809782844031	14.827952611196	5.72043351001214e-39	2.82989242949084e-36	77.8154175486995	up	35.5482300726617
SGIP1	1.06899489795812	4.57054078766831	14.825109689765	5.8713646378018e-39	2.82989242949084e-36	77.7896445139688	up	35.5482300726617
