Instance_number,'True Positives','False Negatives','False Positives','True Negatives','False Positive Rate','True Positive Rate',Precision,Recall,Fallout,FMeasure,'Sample Size',Lift,Threshold
0,189,0,161,0,1,1,0.54,1,0.46,0.701299,1,1,0
1,189,0,123,38,0.763975,1,0.605769,1,0.394231,0.754491,0.891429,1.121795,0.01
2,188,1,117,44,0.726708,0.994709,0.616393,0.994709,0.383607,0.761134,0.871429,1.141469,0.02
3,188,1,114,47,0.708075,0.994709,0.622517,0.994709,0.377483,0.765784,0.862857,1.152808,0.03
4,188,1,108,53,0.670807,0.994709,0.635135,0.994709,0.364865,0.775258,0.845714,1.176176,0.04
5,188,1,106,55,0.658385,0.994709,0.639456,0.994709,0.360544,0.778468,0.84,1.184177,0.05
6,188,1,100,61,0.621118,0.994709,0.652778,0.994709,0.347222,0.78826,0.822857,1.208848,0.06
7,188,1,98,63,0.608696,0.994709,0.657343,0.994709,0.342657,0.791579,0.817143,1.217301,0.07
8,188,1,90,71,0.559006,0.994709,0.676259,0.994709,0.323741,0.805139,0.794286,1.252331,0.08
9,188,1,85,76,0.52795,0.994709,0.688645,0.994709,0.311355,0.813853,0.78,1.275268,0.09
10,188,1,79,82,0.490683,0.994709,0.70412,0.994709,0.29588,0.824561,0.762857,1.303926,0.1
11,188,1,76,85,0.47205,0.994709,0.712121,0.994709,0.287879,0.830022,0.754286,1.318743,0.11
12,188,1,75,86,0.465839,0.994709,0.714829,0.994709,0.285171,0.831858,0.751429,1.323757,0.12
13,188,1,71,90,0.440994,0.994709,0.725869,0.994709,0.274131,0.839286,0.74,1.344201,0.13
14,188,1,69,92,0.428571,0.994709,0.731518,0.994709,0.268482,0.843049,0.734286,1.354662,0.14
15,188,1,66,95,0.409938,0.994709,0.740157,0.994709,0.259843,0.848758,0.725714,1.370662,0.15
16,188,1,64,97,0.397516,0.994709,0.746032,0.994709,0.253968,0.852608,0.72,1.38154,0.16
17,188,1,62,99,0.385093,0.994709,0.752,0.994709,0.248,0.856492,0.714286,1.392593,0.17
18,188,1,59,102,0.36646,0.994709,0.761134,0.994709,0.238866,0.862385,0.705714,1.409507,0.18
19,188,1,57,104,0.354037,0.994709,0.767347,0.994709,0.232653,0.866359,0.7,1.421013,0.19
20,188,1,55,106,0.341615,0.994709,0.773663,0.994709,0.226337,0.87037,0.694286,1.432708,0.2
21,188,1,51,110,0.31677,0.994709,0.786611,0.994709,0.213389,0.878505,0.682857,1.456687,0.21
22,187,2,51,110,0.31677,0.989418,0.785714,0.989418,0.214286,0.875878,0.68,1.455026,0.22
23,187,2,50,111,0.310559,0.989418,0.78903,0.989418,0.21097,0.877934,0.677143,1.461166,0.23
24,186,3,49,112,0.304348,0.984127,0.791489,0.984127,0.208511,0.877358,0.671429,1.465721,0.26
25,186,3,47,114,0.291925,0.984127,0.798283,0.984127,0.201717,0.881517,0.665714,1.478302,0.27
26,185,4,47,114,0.291925,0.978836,0.797414,0.978836,0.202586,0.87886,0.662857,1.476692,0.28
27,185,4,46,115,0.285714,0.978836,0.800866,0.978836,0.199134,0.880952,0.66,1.483085,0.29
28,185,4,43,118,0.267081,0.978836,0.811404,0.978836,0.188596,0.88729,0.651429,1.502599,0.3
29,185,4,42,119,0.26087,0.978836,0.814978,0.978836,0.185022,0.889423,0.648571,1.509218,0.31
30,185,4,39,122,0.242236,0.978836,0.825893,0.978836,0.174107,0.895884,0.64,1.529431,0.32
31,183,6,37,124,0.229814,0.968254,0.831818,0.968254,0.168182,0.894866,0.628571,1.540404,0.34
32,182,7,36,125,0.223602,0.962963,0.834862,0.962963,0.165138,0.894349,0.622857,1.546041,0.35
33,182,7,35,126,0.217391,0.962963,0.83871,0.962963,0.16129,0.896552,0.62,1.553166,0.36
34,182,7,32,129,0.198758,0.962963,0.850467,0.962963,0.149533,0.903226,0.611429,1.574939,0.37
35,181,8,32,129,0.198758,0.957672,0.849765,0.957672,0.150235,0.900498,0.608571,1.573639,0.38
36,179,10,32,129,0.198758,0.94709,0.848341,0.94709,0.151659,0.895,0.602857,1.571002,0.39
37,178,11,31,130,0.192547,0.941799,0.851675,0.941799,0.148325,0.894472,0.597143,1.577175,0.4
38,177,12,30,131,0.186335,0.936508,0.855072,0.936508,0.144928,0.893939,0.591429,1.583468,0.41
39,175,14,29,132,0.180124,0.925926,0.857843,0.925926,0.142157,0.890585,0.582857,1.588598,0.42
40,175,14,28,133,0.173913,0.925926,0.862069,0.925926,0.137931,0.892857,0.58,1.596424,0.43
41,174,15,27,134,0.167702,0.920635,0.865672,0.920635,0.134328,0.892308,0.574286,1.603096,0.44
42,173,16,25,136,0.15528,0.915344,0.873737,0.915344,0.126263,0.894057,0.565714,1.618032,0.45
43,172,17,25,136,0.15528,0.910053,0.873096,0.910053,0.126904,0.891192,0.562857,1.616845,0.46
44,172,17,24,137,0.149068,0.910053,0.877551,0.910053,0.122449,0.893506,0.56,1.625094,0.47
45,171,18,23,138,0.142857,0.904762,0.881443,0.904762,0.118557,0.89295,0.554286,1.632302,0.49
46,170,19,21,140,0.130435,0.899471,0.890052,0.899471,0.109948,0.894737,0.545714,1.648245,0.5
47,169,20,20,141,0.124224,0.89418,0.89418,0.89418,0.10582,0.89418,0.54,1.655889,0.51
48,169,20,19,142,0.118012,0.89418,0.898936,0.89418,0.101064,0.896552,0.537143,1.664697,0.52
49,167,22,18,143,0.111801,0.883598,0.902703,0.883598,0.097297,0.893048,0.528571,1.671672,0.53
50,167,22,17,144,0.10559,0.883598,0.907609,0.883598,0.092391,0.895442,0.525714,1.680757,0.54
51,165,24,17,144,0.10559,0.873016,0.906593,0.873016,0.093407,0.889488,0.52,1.678877,0.55
52,164,25,17,144,0.10559,0.867725,0.906077,0.867725,0.093923,0.886486,0.517143,1.677921,0.57
53,162,27,17,144,0.10559,0.857143,0.905028,0.857143,0.094972,0.880435,0.511429,1.675978,0.58
54,161,28,16,145,0.099379,0.851852,0.909605,0.851852,0.090395,0.879781,0.505714,1.684453,0.59
55,160,29,16,145,0.099379,0.846561,0.909091,0.846561,0.090909,0.876712,0.502857,1.683502,0.6
56,158,31,15,146,0.093168,0.835979,0.913295,0.835979,0.086705,0.872928,0.494286,1.691287,0.62
